1.1.7.01.01.01.001;Aspal
1.3.2.07.01.01.022;Lemari Steriil
1.3.2.07.01.01.023;Air Viva
1.3.2.07.01.01.024;Alat Ganti Ykbs
1.3.2.07.01.01.025;Ambubag
1.3.2.07.01.01.026;Tabung 02
1.3.2.07.01.01.027;Aplanation Termometer
1.3.2.07.01.01.028;Autoclave Table
1.3.2.07.01.01.029;Automatic Chart Proyektor
1.3.2.07.01.01.030;Automatic Spray Gonometer
1.3.2.07.01.01.031;Bak Catheter
1.3.2.07.01.01.032;Bak Instrument (Stainles,Kaca,Email)
1.3.2.07.01.01.033;Bak Korentang (Stainles)
1.3.2.07.01.01.034;Bak Spuit
1.3.2.07.01.01.035;Balon Spray
1.3.2.07.01.01.036;Bantal Angin/Wind Ring
1.3.2.07.01.01.037;Basic Diagnostic Kit (Alat Kedokteran Umum)
1.3.2.07.01.01.038;Bed Side Monitor
1.3.2.07.01.01.039;Bed Skreen/Sherm
1.3.2.07.01.01.040;Blass Spuit (Glass,Metal)
1.3.2.07.01.01.041;Blood Exchange Set (Alat Kedokteran Umum)
1.3.2.07.01.01.042;Brancard
1.3.2.07.01.01.043;Buli-Buli Panas
1.3.2.07.01.01.044;Butomous P 02 Modul
1.3.2.07.01.01.045;Canula Rectal
1.3.2.07.01.01.046;Capagati 3 L
1.3.2.07.01.01.047;Centrifuge (Alat Kedokteran Umum)
1.3.2.07.01.01.048;Chytologi Bantal
1.3.2.07.01.01.049;Clinical Thermometer (Alat Kedokteran Umum)
1.3.2.07.01.01.050;Co2 Analyzer (Alat Kedokteran Umum)
1.3.2.07.01.01.051;Colonofibers Cape
1.3.2.07.01.01.052;Combilag
1.3.2.07.01.01.053;Corn Image Interserver
1.3.2.07.01.01.054;Dale Dagion (Alat Kedokteran Umum)
1.3.2.07.01.01.055;Defision Sehafulla Telector
1.3.2.07.01.01.056;Desk Suction System
1.3.2.07.01.01.057;Digital Oscamolis
1.3.2.07.01.01.058;Direct Reading Desimeter
1.3.2.07.01.01.059;Dressing Card
1.3.2.07.01.01.060;Electro Cardiography (Alat Kedokteran Umum)
1.3.2.07.01.01.061;Elektro Counter
1.3.2.07.01.01.062;Ergometer Sensor
1.3.2.07.01.01.063;Esche Palce
1.3.2.07.01.01.064;Examination Lamp
1.3.2.07.01.01.065;Examination Table
1.3.2.07.01.01.066;Fantex Mark
1.3.2.07.01.01.067;Film Viewer
1.3.2.07.01.01.068;Flow Meter (Alat Kedokteran Umum)
1.3.2.07.01.01.069;Flow Meter 02
1.3.2.07.01.01.070;Flurecent Lamp Komplit
1.3.2.07.01.01.071;Forcep Neagle/Kieland/Piper
1.3.2.07.01.01.072;Freakter Ef 502
1.3.2.07.01.01.073;Gantungan Urin Bag
1.3.2.07.01.01.074;Gilycerin Spuit
1.3.2.07.01.01.075;Giving Set (Alat Kedokteran Umum)
1.3.2.07.01.01.076;Groses Shalt Mogoglo Pamator
1.3.2.07.01.01.077;Hypeal Carter
1.3.2.07.01.01.078;Ice Crag
1.3.2.07.01.01.079;Ice Cup
1.3.2.07.01.01.080;Infusion Pump
1.3.2.07.01.01.081;Instrument Tray
1.3.2.07.01.01.082;Ippo
1.3.2.07.01.01.083;Irrigator
1.3.2.07.01.01.084;Kariek Half Lazer
1.3.2.07.01.01.085;Kom Kompres (Alat Kedokteran Umum)
1.3.2.07.01.01.086;Kom Stainles (Drain,Gaas,Tampon)
1.3.2.07.01.01.087;Korentang
1.3.2.07.01.01.088;Laundry Tuch
1.3.2.07.01.01.089;Laser Unit
1.3.2.07.01.01.090;Lono Premansi Stimulator Adi
1.3.2.07.01.01.091;Low Presure Continous
1.3.2.07.01.01.092;Magil Tang (Dewasa,Anak)
1.3.2.07.01.01.093;Mangkok/Kom Betadin (Stainless,Keramik/China)
1.3.2.07.01.01.094;Mark Biotazer
1.3.2.07.01.01.095;Meja Suntik Beroda
1.3.2.07.01.01.096;Lemari Obat (Kaca)
1.3.2.07.01.01.097;Module Parabeden Trandezer
1.3.2.07.01.01.098;Nasal Clip
1.3.2.07.01.01.099;Natrilisangfas Fas Instal
1.3.2.07.01.01.100;Nebulizer Perimeter (Anesthesi)
1.3.2.07.01.01.101;Needle Holder
1.3.2.07.01.01.102;Netlin
1.3.2.07.01.01.103;Nichulis
1.3.2.07.01.01.104;Nierbekhen
1.3.2.07.01.01.105;Neonatal Monitor (Alat Kedokteran Umum)
1.3.2.07.01.01.106;One Compartement Warrobe (Alat Kedokteran Umum)
1.3.2.07.01.01.107;Operating Lamp
1.3.2.07.01.01.108;Oxygen Therapy Set Lengkap
1.3.2.07.01.01.109;Pathologi Equipment
1.3.2.07.01.01.110;Pereksimea Fondus
1.3.2.07.01.01.111;Perfin Disposseri
1.3.2.07.01.01.112;Pispot Anak
1.3.2.07.01.01.113;Pispot Dewasa
1.3.2.07.01.01.114;Plase Phone Doples
1.3.2.07.01.01.115;Prape For Memory Dan Typloid
1.3.2.07.01.01.116;Presatre Module
1.3.2.07.01.01.117;Primatik Nidel
1.3.2.07.01.01.118;Pulse Oximeter
1.3.2.07.01.01.119;Reflex Hammer (Alat Kedokteran Umum)
1.3.2.07.01.01.120;Respirator (Alat Kedokteran Umum)
1.3.2.07.01.01.121;Resusitasi Dewasa
1.3.2.07.01.01.122;Resusitasi Anak
1.3.2.07.01.01.123;Resusitasi Bayi
1.3.2.07.01.01.124;Rinnon Miliable Resaftor
1.3.2.07.01.01.125;Rolling Seal Type
1.3.2.07.01.01.126;Kursi Dorong
1.3.2.07.01.01.127;R-Her Coacgulator
1.3.2.07.01.01.128;Saeperingsystem
1.3.2.07.01.01.129;Schates
1.3.2.07.01.01.130;Screm Holder Red
1.3.2.07.01.01.131;Setum Adrenalin
1.3.2.07.01.01.132;Seven Solar Duble Midel
1.3.2.07.01.01.133;Suction Pump
1.3.2.07.01.01.134;Sonde Uterus (Alat Kedokteran Umum)
1.3.2.07.01.01.135;Spatel Lidah
1.3.2.07.01.01.136;Spoon Oxigen Correction
1.3.2.07.01.01.137;Sputum Bak/Pot
1.3.2.07.01.01.138;Standar Infus
1.3.2.07.01.01.139;Standar Waskom
1.3.2.07.01.01.140;Standard Colector For Table
1.3.2.07.01.01.141;Steritionoscope Transpometer
1.3.2.07.01.01.142;Stimulator (Alat Kedokteran Umum)
1.3.2.07.01.01.143;Syringe Pump (Alat Kedokteran Umum)
1.3.2.07.01.01.144;Temperatur Monitor
1.3.2.07.01.01.145;Termometer Mercury Untuk Suhu Badan
1.3.2.07.01.01.146;The Newsillerstration Of Acpint
1.3.2.07.01.01.147;Timer Ekolo
1.3.2.07.01.01.148;Tre Chanel Extra Cardiografi
1.3.2.07.01.01.149;Trigatus
1.3.2.07.01.01.150;Tromol Has
1.3.2.07.01.01.151;Urinal
1.3.2.07.01.01.152;U S G
1.3.2.07.01.01.153;Utility Trolly
1.3.2.07.01.01.154;Uv Sterilizer
1.3.2.07.01.01.155;Cool Light
1.3.2.07.01.01.156;Vegdes Labry Splyt Genotpone
1.3.2.07.01.01.157;Vena Sectie Set
1.3.2.07.01.01.158;Wall Rail System
1.3.2.07.01.01.159;Holter Panthon (Rm)
1.3.2.07.01.01.160;Went Allyn Apthacape
1.3.2.07.01.01.161;Senter
1.3.2.07.01.01.162;Refloton
1.3.2.07.01.01.163;Meja Fisiotherapie
1.3.2.07.01.01.164;Aeskular
1.3.2.07.01.01.165;Pinset Anatomi
1.3.2.07.01.01.166;Fris Ard
1.3.2.07.01.01.167;Tong Spatel
1.3.2.07.01.01.168;The Sun Ancom Oxigen Exer
1.3.2.07.01.01.169;Alat Kedokteran Umum Lainnya
1.3.2.07.01.02.001;Dental Chair
1.3.2.07.01.02.002;Dental Unit
1.3.2.07.01.02.003;Dental X-Ray Unit
1.3.2.07.01.02.004;Air Set Airomatik
1.3.2.07.01.02.005;Dental Hand Instruments Set
1.3.2.07.01.02.006;Oral Surgical Set
1.3.2.07.01.02.007;Apdent Juster
1.3.2.07.01.02.008;Aero Sterisator
1.3.2.07.01.02.009;Operating Chair
1.3.2.07.01.02.010;Infra Red
1.3.2.07.01.02.011;Sendok Cetak
1.3.2.07.01.02.012;Clinical Chair
1.3.2.07.01.02.013;Dosator
1.3.2.07.01.02.014;Minor Surgical Set (Alat Kedokteran Gigi)
1.3.2.07.01.02.015;Detal Sergion Set
1.3.2.07.01.02.016;Polish Motor
1.3.2.07.01.02.017;Gavitron Generator
1.3.2.07.01.02.018;Niva Lite
1.3.2.07.01.02.019;Portable Dental Unit
1.3.2.07.01.02.020;Dental Ultra Sonic
1.3.2.07.01.02.021;U.V. Lamp (Alat Kedokteran Gigi)
1.3.2.07.01.02.022;Amalgamator
1.3.2.07.01.02.023;Terminator
1.3.2.07.01.02.024;Airimatik 205 Dental Unit
1.3.2.07.01.02.025;Amalgam Pistol/Stoper (Alat Kedokteran Gigi)
1.3.2.07.01.02.026;Articulator Free Place
1.3.2.07.01.02.027;Bend Pusher
1.3.2.07.01.02.028;Berge Fail
1.3.2.07.01.02.029;Bistal End Cutter
1.3.2.07.01.02.030;Bond Seater
1.3.2.07.01.02.031;Boor Gigi
1.3.2.07.01.02.032;Bracket Holder
1.3.2.07.01.02.033;Burnisher
1.3.2.07.01.02.034;Hand Piece
1.3.2.07.01.02.035;Chisel
1.3.2.07.01.02.036;Cirto Jec
1.3.2.07.01.02.037;Contra Angel
1.3.2.07.01.02.038;Crown Remover
1.3.2.07.01.02.039;Cryer
1.3.2.07.01.02.040;Curret Gigi
1.3.2.07.01.02.041;Curret Lurus/Bengkok
1.3.2.07.01.02.042;Cuvert
1.3.2.07.01.02.043;Dillarosa
1.3.2.07.01.02.044;Electro Lyte Polisher
1.3.2.07.01.02.045;Engine Machine
1.3.2.07.01.02.046;Engine Portable Lengkap
1.3.2.07.01.02.047;Exkavator
1.3.2.07.01.02.048;Finger Protector
1.3.2.07.01.02.049;Hand Stuk/Hand Pice
1.3.2.07.01.02.050;Handel Miss
1.3.2.07.01.02.051;Heliosit - Heliomat
1.3.2.07.01.02.052;Hendpiece Airbin 400.000 Rpm
1.3.2.07.01.02.053;Hoestuk (Mikrometer)
1.3.2.07.01.02.054;How Flier Bengkok Lurus
1.3.2.07.01.02.055;Intra Olral
1.3.2.07.01.02.056;Jangka
1.3.2.07.01.02.057;Jelenko Colid Bath
1.3.2.07.01.02.058;Kaca Mulut/Spigel
1.3.2.07.01.02.059;Kikir Gigi
1.3.2.07.01.02.060;Knabel Tang (Alat Kedokteran Gigi)
1.3.2.07.01.02.061;Knope Sonda
1.3.2.07.01.02.062;Laboratorium Hathe
1.3.2.07.01.02.063;Laring Suprane Dental Unit Shimatic 20 Cc/Fontell
1.3.2.07.01.02.064;Laring Supreme Dental Unit
1.3.2.07.01.02.065;Light Curing Unit
1.3.2.07.01.02.066;Lip Retraktor
1.3.2.07.01.02.067;Mouth Piece
1.3.2.07.01.02.068;Motor Gigi Fora Tanpa Handpiece
1.3.2.07.01.02.069;Mouth Retraktor
1.3.2.07.01.02.070;Mouth Speder
1.3.2.07.01.02.071;Odner Bending
1.3.2.07.01.02.072;Okludator
1.3.2.07.01.02.073;Palishing Motor
1.3.2.07.01.02.074;Pengukur Bracket
1.3.2.07.01.02.075;Physiodispenser Implant + Microsurgery
1.3.2.07.01.02.076;Pik Hak Gigi
1.3.2.07.01.02.077;Pinset Dental
1.3.2.07.01.02.078;Pisau Lilin/Wasmess/Wax Knife
1.3.2.07.01.02.079;Plastik Instrument
1.3.2.07.01.02.080;Press Untuk Dua Kafet
1.3.2.07.01.02.081;Press Untuk Satu Kapet
1.3.2.07.01.02.082;Prostetic Engine
1.3.2.07.01.02.083;Raspatorium
1.3.2.07.01.02.084;Semen Stoper
1.3.2.07.01.02.085;Shade Guide
1.3.2.07.01.02.086;Slip Join
1.3.2.07.01.02.087;Spatel Gips
1.3.2.07.01.02.088;Speculum Gigi
1.3.2.07.01.02.089;Spoot Welder
1.3.2.07.01.02.090;Tang Clamer
1.3.2.07.01.02.091;Tang Ektrasi (Dewasa,Anak)
1.3.2.07.01.02.092;Tang Omega
1.3.2.07.01.02.093;Tang Pengukur Bracket Depan/Belakang
1.3.2.07.01.02.094;Tang Rahang Bawah
1.3.2.07.01.02.095;Tang Removable Appliance
1.3.2.07.01.02.096;Tang Serba Guna
1.3.2.07.01.02.097;Tang Set
1.3.2.07.01.02.098;Tang Spatel/Kawat
1.3.2.07.01.02.099;Tang Sporasi
1.3.2.07.01.02.100;Tang Tulang
1.3.2.07.01.02.101;Tastim Instrument Manual
1.3.2.07.01.02.102;Vacuum Mixer
1.3.2.07.01.02.103;Wang Hak
1.3.2.07.01.02.104;Yudir Klem
1.3.2.07.01.02.105;Zuig Kanule
1.3.2.07.01.02.106;Infus Standard Mac High 2 M
1.3.2.07.01.02.107;Kompresor Jun Air
1.3.2.07.01.02.108;Prisma Life System (Sinar Halogen)
1.3.2.07.01.02.109;Compresor Gigi
1.3.2.07.01.02.110;Scaller
1.3.2.07.01.02.111;Scaller Callat Scalling
1.3.2.07.01.02.112;Matrix
1.3.2.07.01.02.113;Mortir And B Stamper
1.3.2.07.01.02.114;Pisau Operasi/Scapel
1.3.2.07.01.02.115;Pisau Crown/Lecron
1.3.2.07.01.02.116;Bein
1.3.2.07.01.02.117;Alat Ra Foto
1.3.2.07.01.02.118;Tang Incicivus Atas Susu
1.3.2.07.01.02.119;Tang Molare Atas Susu
1.3.2.07.01.02.120;Tang Radix Atas Susu
1.3.2.07.01.02.121;Tang Radix Bawah Susu
1.3.2.07.01.02.122;Tang Incicivus Atas
1.3.2.07.01.02.123;Tang Radix Posterior Atas
1.3.2.07.01.02.124;Tang Radix Anterior Atas
1.3.2.07.01.02.125;Tang Molar Atas Kiri
1.3.2.07.01.02.126;Tang Molar Atas Kanan
1.3.2.07.01.02.127;Tang Molar Bawah
1.3.2.07.01.02.128;Tang Incicivus/Anterir Bawah
1.3.2.07.01.02.129;Tang Radix Bawah
1.3.2.07.01.02.130;Tang Molar Tiga Atas/Modifikasi
1.3.2.07.01.02.131;Alat Espe Eliper
1.3.2.07.01.02.132;Rasparaxtium
1.3.2.07.01.02.133;Carving Amalgam
1.3.2.07.01.02.134;Needle Halder
1.3.2.07.01.02.135;Alat Kedokteran Gigi Lainnya
1.3.2.07.01.03.001;Genekologi Tabel
1.3.2.07.01.03.002;Tromol Gaas
1.3.2.07.01.03.003;Service Model Kit
1.3.2.07.01.03.004;Speculum Model Kit
1.3.2.07.01.03.005;Uterin Dressing
1.3.2.07.01.03.006;Speculum
1.3.2.07.01.03.007;Instrumen Tray
1.3.2.07.01.03.008;Uterin Zone
1.3.2.07.01.03.009;Extraktur Iud
1.3.2.07.01.03.010;Model Implan
1.3.2.07.01.03.011;Pengait Iud
1.3.2.07.01.03.012;Trocar Implan
1.3.2.07.01.03.013;Vasektomi Dissecting Clam
1.3.2.07.01.03.014;Vasektomi Kit Fix Ing Clam
1.3.2.07.01.03.015;Alat Kedokteran Keluarga Berencana Lainnya
1.3.2.07.01.04.001;Minor Surgeri Set
1.3.2.07.01.04.002;Mayor Surgeri Set
1.3.2.07.01.04.003;Nephrectomy Set
1.3.2.07.01.04.004;Circumsision Set
1.3.2.07.01.04.005;Orthopedy Set
1.3.2.07.01.04.006;Rectum Set
1.3.2.07.01.04.007;Tractheotomy Set
1.3.2.07.01.04.008;Gastro Instestinal Set
1.3.2.07.01.04.009;Blas And Urology Set
1.3.2.07.01.04.010;Thyroidectomy Set
1.3.2.07.01.04.011;Anaesthesi App
1.3.2.07.01.04.012;Operating Table Bedah
1.3.2.07.01.04.013;Electro Surgery Unit
1.3.2.07.01.04.014;Endoscopy Unit
1.3.2.07.01.04.015;Operating Microscope (Alat Kedokteran Bedah)
1.3.2.07.01.04.016;Cryo Surgery
1.3.2.07.01.04.017;Ultra Sound Cleaner
1.3.2.07.01.04.018;Colposcope (Alat Kedokteran Bedah)
1.3.2.07.01.04.019;Echotonometer
1.3.2.07.01.04.020;Instalasi Gas Medik
1.3.2.07.01.04.021;Laser Coagulator
1.3.2.07.01.04.022;Mobile Operating Lamp
1.3.2.07.01.04.023;Polygraph
1.3.2.07.01.04.024;Mobile X-Ray C-Arm
1.3.2.07.01.04.025;Abdomal Surgery Set
1.3.2.07.01.04.026;Abdominal Spatulas
1.3.2.07.01.04.027;Instrument Bedah Syaraf
1.3.2.07.01.04.028;Allis Klem
1.3.2.07.01.04.029;Amputation Surgery Set
1.3.2.07.01.04.030;Anuscope (Anak,Dewasa)
1.3.2.07.01.04.031;Anuscopy Set
1.3.2.07.01.04.032;Operating Teaches Light Strestes
1.3.2.07.01.04.033;Appendectomy Instrumen Set
1.3.2.07.01.04.034;Approach Sinator
1.3.2.07.01.04.035;Arthroscopy
1.3.2.07.01.04.036;Basic Surgical Instrument
1.3.2.07.01.04.037;Biopsi Forceps Tb.100 (Olympus)
1.3.2.07.01.04.038;Biopsi Tang
1.3.2.07.01.04.039;Boor Listrik
1.3.2.07.01.04.040;Bougie (Higar, Metal,Urethra)
1.3.2.07.01.04.041;Buldog
1.3.2.07.01.04.042;Burn Tang Lengkap Dengan Lift
1.3.2.07.01.04.043;Busteustinal Clam Curved
1.3.2.07.01.04.044;C B D
1.3.2.07.01.04.045;Canule
1.3.2.07.01.04.046;Ceiling Operating Lamp 7 M Halogen
1.3.2.07.01.04.047;Child Basic Instrument Set
1.3.2.07.01.04.048;Choledofiberscope
1.3.2.07.01.04.049;Chromovision
1.3.2.07.01.04.050;Clips Forcep
1.3.2.07.01.04.051;Colone Fiberscope
1.3.2.07.01.04.052;Comiatun Set
1.3.2.07.01.04.053;Curve Long Rirtonal
1.3.2.07.01.04.054;Cusa Cover
1.3.2.07.01.04.055;Cutting Mikro Spacement
1.3.2.07.01.04.056;Cystoscopy
1.3.2.07.01.04.057;Czerny Gall Stone Forceps
1.3.2.07.01.04.058;Deaver Rectraktor
1.3.2.07.01.04.059;Debaky Aortile Aneorysm Clamp
1.3.2.07.01.04.060;Debaky Cardiovascular Scissors
1.3.2.07.01.04.061;Debaky Pean Forceps Cun
1.3.2.07.01.04.062;Deower Retractor
1.3.2.07.01.04.063;Desjardin Galls T Scoop Fig
1.3.2.07.01.04.064;Dopscan
1.3.2.07.01.04.065;Dual Temperature Steam Stirilizer
1.3.2.07.01.04.066;Duck Klem (Besar,Kecil)
1.3.2.07.01.04.067;Dupal
1.3.2.07.01.04.068;Electric Suction Pump
1.3.2.07.01.04.069;Electric Table
1.3.2.07.01.04.070;Electric Cauter
1.3.2.07.01.04.071;Emergency Trolley
1.3.2.07.01.04.072;Endophare
1.3.2.07.01.04.073;Examination Light
1.3.2.07.01.04.074;Fuged Air Lig And Diss Pcs
1.3.2.07.01.04.075;Gagang Bisturi/Handput Pisau/Scapel
1.3.2.07.01.04.076;Garpu/Rectractor
1.3.2.07.01.04.077;Gayon Renal Pedicle Clam
1.3.2.07.01.04.078;Gergaji Gips Biasa
1.3.2.07.01.04.079;Gergaji Gips Listrik
1.3.2.07.01.04.080;Gynaecologi Operating Set
1.3.2.07.01.04.081;Hak Langen Beck
1.3.2.07.01.04.082;Hak Pembuka Otot
1.3.2.07.01.04.083;Heacting Set
1.3.2.07.01.04.084;Hend Surgical Set
1.3.2.07.01.04.085;Herniotomi Set
1.3.2.07.01.04.086;Hernia Instrumen Set
1.3.2.07.01.04.087;Hoesel
1.3.2.07.01.04.088;Instrument Pin
1.3.2.07.01.04.089;Instrument Lany
1.3.2.07.01.04.090;Intestinal Instrument
1.3.2.07.01.04.091;Israel Retractor
1.3.2.07.01.04.092;Jacob Yuls Forceps
1.3.2.07.01.04.093;Jening Mouth
1.3.2.07.01.04.094;Kien Nail
1.3.2.07.01.04.095;Kikir Osteotomi (Lengkung,Lurus)
1.3.2.07.01.04.096;Klem Jaringan
1.3.2.07.01.04.097;Klem Pangkal
1.3.2.07.01.04.098;Knabel Tang (Alat Kedokteran Bedah)
1.3.2.07.01.04.099;Kocher Atizu Intest Foceps
1.3.2.07.01.04.100;Kocher Rectraktor
1.3.2.07.01.04.101;Kocherpis Sonde
1.3.2.07.01.04.102;Kom Kompres (Alat Kedokteran Bedah)
1.3.2.07.01.04.103;Kom Novocain
1.3.2.07.01.04.104;Kursi Zeis
1.3.2.07.01.04.105;Laminectomy Set
1.3.2.07.01.04.106;Langen Back Retractor
1.3.2.07.01.04.107;Laparatomi Set
1.3.2.07.01.04.108;Laparoscopy Cholecystectomy
1.3.2.07.01.04.109;Laringecetomi Set
1.3.2.07.01.04.110;Lawrece Disecting Forceps
1.3.2.07.01.04.111;Life Care Pump
1.3.2.07.01.04.112;Mainzlo Scisor
1.3.2.07.01.04.113;Manual Amprytation Set
1.3.2.07.01.04.114;Marinus Intstimal And Stomah Fcps
1.3.2.07.01.04.115;Masquito Klem
1.3.2.07.01.04.116;Mayo Blake Galls Tone Forceps
1.3.2.07.01.04.117;Mayo Table Stand Mobile, Stainles Steel
1.3.2.07.01.04.118;Mayo Vaginal Ugosit Set
1.3.2.07.01.04.119;Meeker Disection Clamp
1.3.2.07.01.04.120;Meja Gynokologie
1.3.2.07.01.04.121;Meja Opel Model Recal 700
1.3.2.07.01.04.122;Meja Operasi Minor
1.3.2.07.01.04.123;Mesh Graft Dermatome
1.3.2.07.01.04.124;Micro E Controller
1.3.2.07.01.04.125;Micro Surgery Set
1.3.2.07.01.04.126;Miiddledorff Rectraktor
1.3.2.07.01.04.127;Mikulit
1.3.2.07.01.04.128;Milculica Pertal Full Cvd
1.3.2.07.01.04.129;Minor Anesthetic Apparatus
1.3.2.07.01.04.130;Minor Basic Set
1.3.2.07.01.04.131;Mixter Disecting Forceps
1.3.2.07.01.04.132;Multipurpose Operating Table With Standard Accessories
1.3.2.07.01.04.133;Mytle Prube (Leap)
1.3.2.07.01.04.134;O Haak
1.3.2.07.01.04.135;Operating Tekvation
1.3.2.07.01.04.136;Orthopedi Instrument Set
1.3.2.07.01.04.137;Osteotomi Knife (Lengkung,Lurus)
1.3.2.07.01.04.138;Park Rectractor
1.3.2.07.01.04.139;Part Director
1.3.2.07.01.04.140;Perforator 50 Electric
1.3.2.07.01.04.141;Pinset Bayonet (Alat Kedokteran Bedah)
1.3.2.07.01.04.142;Pinset Klem
1.3.2.07.01.04.143;Pistol (Ramratial Szannor)
1.3.2.07.01.04.144;Plastic Surgery
1.3.2.07.01.04.145;Probe
1.3.2.07.01.04.146;Rectal Apuraty Set
1.3.2.07.01.04.147;Rectasiguwi Tescophy
1.3.2.07.01.04.148;Rectum Canule
1.3.2.07.01.04.149;Resectoscope Set
1.3.2.07.01.04.150;Retractor
1.3.2.07.01.04.151;Rige Led Mixer
1.3.2.07.01.04.152;Roux Rectraktor
1.3.2.07.01.04.153;Set Haemoroid
1.3.2.07.01.04.154;Set Kidney
1.3.2.07.01.04.155;Set Klem Hepar
1.3.2.07.01.04.156;Set Laparoscope
1.3.2.07.01.04.157;Set Sonde Urologi
1.3.2.07.01.04.158;Set Statuisky
1.3.2.07.01.04.159;Set Thoracotomy
1.3.2.07.01.04.160;Set Vasculer
1.3.2.07.01.04.161;Sigmoid Clam
1.3.2.07.01.04.162;Skin Hook
1.3.2.07.01.04.163;Sponge Holding
1.3.2.07.01.04.164;Star Fand
1.3.2.07.01.04.165;Stright Long Rirtonal
1.3.2.07.01.04.166;Stsg
1.3.2.07.01.04.167;Surgery For Cancer Of The Oeskoplesus
1.3.2.07.01.04.168;Surgical Forsep
1.3.2.07.01.04.169;Surgical Instrument Basic
1.3.2.07.01.04.170;Surgical Instrument
1.3.2.07.01.04.171;Surgical Siazes
1.3.2.07.01.04.172;Surgical Slym
1.3.2.07.01.04.173;Syringe Pump (Alat Kedokteran Bedah)
1.3.2.07.01.04.174;Tang Mazeuk
1.3.2.07.01.04.175;Tc Stexidord Scs Bl-Bl Strr
1.3.2.07.01.04.176;Thoracotomy Set
1.3.2.07.01.04.177;Thorasic Orthopedi Surgery Set
1.3.2.07.01.04.178;Tracheotomy Set (Alat Kedokteran Bedah)
1.3.2.07.01.04.179;Trapomation Set
1.3.2.07.01.04.180;Tricar Jarum
1.3.2.07.01.04.181;Troicart (Alat Kedokteran Bedah)
1.3.2.07.01.04.182;Turner Warwick Gall Ston Fcf
1.3.2.07.01.04.183;Urological Surgery Set
1.3.2.07.01.04.184;Vaginal Hytrectomy
1.3.2.07.01.04.185;Vena Sectic Set
1.3.2.07.01.04.186;Verband Set
1.3.2.07.01.04.187;Vesual Caesar
1.3.2.07.01.04.188;Wound Hak
1.3.2.07.01.04.189;Zeis
1.3.2.07.01.04.190;Alat Kedokteran Bedah Lainnya
1.3.2.07.01.05.001;Normal Delevey Set
1.3.2.07.01.05.002;Hysterectomy Set
1.3.2.07.01.05.003;Caesarean Section Set
1.3.2.07.01.05.004;Pathologikal Delivery Set
1.3.2.07.01.05.005;Embryotomy Set
1.3.2.07.01.05.006;Vaginal Sterilization
1.3.2.07.01.05.007;Perinatologi Set
1.3.2.07.01.05.008;Curetage And Dilation Set
1.3.2.07.01.05.009;Vaginal Repair Set
1.3.2.07.01.05.010;Basic Obstetric Set
1.3.2.07.01.05.011;Gynecological Examining Table
1.3.2.07.01.05.012;Operating Table For Gynecologi
1.3.2.07.01.05.013;Trubes Stethoscop
1.3.2.07.01.05.014;Irrigator Stand Single
1.3.2.07.01.05.015;Irrigator Botlo Complete With Irrigating Tube
1.3.2.07.01.05.016;Blader Syringe Complete
1.3.2.07.01.05.017;Nelaton Chateter Urethal Ruber Catheter 12-14-16-18Fr
1.3.2.07.01.05.018;Metal Catheter For Female No.8.9.10.11 Depan Bengkok
1.3.2.07.01.05.019;Umbilical Clam
1.3.2.07.01.05.020;Umbilical Soissor 16 Cm Stainless Steel
1.3.2.07.01.05.021;Umbilical Cord Replaiting Set Instrumens
1.3.2.07.01.05.022;Plasenta Basis Stainless Steel
1.3.2.07.01.05.023;Baby Bath Tub
1.3.2.07.01.05.024;Scale For New Born Baby Capasity 15 Kgs
1.3.2.07.01.05.025;Indewaling Catheter Infan Feading
1.3.2.07.01.05.026;Premature Infans Incubator
1.3.2.07.01.05.027;Oxygen Regulator
1.3.2.07.01.05.028;Oxygen Recisitator For Infans
1.3.2.07.01.05.029;Hiswivery Cufit Bag
1.3.2.07.01.05.030;Intravenous Giving Set
1.3.2.07.01.05.031;Cusco Vaginal Speculum Size L.S.M
1.3.2.07.01.05.032;Crages Vaginal Speculum Size L.S.M
1.3.2.07.01.05.033;Kresteler Vaginal Speculum
1.3.2.07.01.05.034;Sinson Vaginal Retractor Size L.S.M
1.3.2.07.01.05.035;Braun Uterine Syringe
1.3.2.07.01.05.036;Dilator For Eclamsia Set Of 8 Pcs
1.3.2.07.01.05.037;Uterine Catheter Dilating & Irrigating Steel
1.3.2.07.01.05.038;Sinon Uterine Scoope 24 Cm Stainless Steel
1.3.2.07.01.05.039;Bosemen Tampon Forceps 25 Cm Stainless Steel
1.3.2.07.01.05.040;Schroder Vulselum Forceps 13 Cm Stainless
1.3.2.07.01.05.041;Schroder Vulselum Forceps
1.3.2.07.01.05.042;Plasenta Forceps 28 Cm Stainless Steel
1.3.2.07.01.05.043;Sim Utarine Currete Blunt Sharp No.1 No.425 Cm Ss
1.3.2.07.01.05.044;Uterine Scoope With Burts 24 Cm Ss
1.3.2.07.01.05.045;Uterine Biopsy Punc 24 Cm Stainless Steel
1.3.2.07.01.05.046;Thom Geylor Specement 22 Cm Stainless Steel
1.3.2.07.01.05.047;Siebold Uterine Scissor 24,5 Cm Stainless Steel
1.3.2.07.01.05.048;Naegle Obsterical Forceps 35,5 Cm Stainless Steel
1.3.2.07.01.05.049;Kielland Obsterical Forceps 38 Cm Stainless Steel
1.3.2.07.01.05.050;Piper Obsterical Forceps 44 Cm Stainless Steel
